SER|NAME|SERVICE DESCRIPTION & DEFINITIONS|WHEN TO USE THIS CODE (EXAMPLES)|SERVICE PACKAGE ALLOWED|APPLIES TO MIN HOUR REQ?|STAFF|ADULT|CHILD|JAIL|JENNINGS|OCR|ICARE|MCOT|CRISIS RESID RESPITE|PROJECT LINK|MEDICAL STAFF
1|LUNCH|Time spent during lunch break||NA||All|X|X|X|X|X|X|X|X|X|X
2|TIME-OFF|Time spent in Jury Duty, Military Leave, Emergency Leave|For non-PTO timeNO CLIENT ID NO CLIENT TIME|NA||All|X|X|X|X|X|X|X|X|X|X
3|STAFF MEETING|Time spent in staff meetings|NO CLIENT ID NO CLIENT TIME|NA||All|X|X|X|X|X|X|X|X|X|X
4|TRAINING PROVIDED|Time spent providing training|NO CLIENT ID NO CLIENT TIME|NA||All|X|X|X|X|X|X|X|X|X|X
5|TRAINING ATTENDED |Time spent attending training|NO CLIENT ID NO CLIENT TIME|NA||All|X|X|X|X|X|X|X|X|X|X
6|COMMITTEES|Time spent in committees|NO CLIENT ID NO CLIENT TIME|NA||All|X|X|X|X|X|X|X|X|X|X
11|ADMIN. TIME||NO CLIENT ID NO CLIENT TIME|NA||All|X|X|X|X|X|X|X|X|X|X
14|P.T.O.|Time off recorded for vacation or sick leave|NO CLIENT ID NO CLIENT TIME|NA||All|X|X|X|X|X|X|X|X|X|X
15|HOLIDAY|Time spent to paid MHMRTC holiday|NO CLIENT ID NO CLIENT TIME|NA||All|X|X|X|X|X|X|X|X|X|X
20|GENERAL ADMIN|Time spent in performing general admin duties not related to a specific client. |Updating caseload report.  Appointment reminder phone calls.  Checking email. NO CLIENT ID  NO CLIENT TIME|NA||All|X|X|X|X|X|X|X|X|X|X
33|PROGRAM SUPPORT|Time spent in specific program activities that support the function of the program/unit's operation.|Oversight of staff, reviewing billing and budgets, purchase requests, picking up medications on behalf of client/s|NA|NO|ALL|X|X|X|X|X|X|X|X|X|X
44|DOCUMENTATION|Time spent completing or reviewing any client-related documentation when client is not present.|Client ID okay with this code.NO CLIENT TIME|NA||All|X|X|X|X|X|X|X|X|X|X
45|CHART AUDIT|Auditing client records for review purposes|Client ID okay with this code.NO CLIENT TIME|NA||All|X|X|X|X|X|X|X|X|X|X
